Variable_Name,Value,County
Fawn Harvest Rate,0.12,Colbert
Adult Male_nhm,0.3,Colbert
Adult Female_nhm,0.183,Colbert
Yearling Male_nhm,0.18,Colbert
Yearling Female_nhm,0.18,Colbert
Fawn Male_nhm,0.49,Colbert
Fawn Female_nhm,0.51,Colbert
6 month Fawn_nhm,0.502,Colbert
Preharvest Population,30000,Lauderdale
Sex Ratio: Doe,130,Lauderdale
Sex Ratio: Buck,100,Lauderdale
Adult Proportion,0.51,Lauderdale
Young Adult (y1) Proportion,0.04,Lauderdale
Yearling Proportion,0.2,Lauderdale
Fawn Proportion,0.25,Lauderdale
Adult Pregnancy Rate,1.6,Lauderdale
Yearling Pregnancy Rate,0.2,Lauderdale
Antlered Harvest,2305,Lauderdale
Antlerless Harvest,2189,Lauderdale
Yearling Harvest Rate: Male,0.11,Lauderdale
Yearling Harvest Rate: Female,0.18,Lauderdale
Fawn Harvest Rate,0.12,Lauderdale
Adult Male_nhm,0.35,Lauderdale
Adult Female_nhm,0.2,Lauderdale
Yearling Male_nhm,0.16,Lauderdale
Yearling Female_nhm,0.12,Lauderdale
Fawn Male_nhm,0.47,Lauderdale
Fawn Female_nhm,0.47,Lauderdale
6 month Fawn_nhm,0.49,Lauderdale
Preharvest Population,30000,Lee
Sex Ratio: Doe,130,Lee
Sex Ratio: Buck,100,Lee
Adult Proportion,0.51,Lee
Young Adult (y1) Proportion,0.04,Lee
Yearling Proportion,0.2,Lee
Fawn Proportion,0.25,Lee
Adult Pregnancy Rate,1.6,Lee
Yearling Pregnancy Rate,0.2,Lee
Antlered Harvest,1764,Lee
Antlerless Harvest,2503,Lee
Yearling Harvest Rate: Male,0.11,Lee
Yearling Harvest Rate: Female,0.18,Lee
Fawn Harvest Rate,0.12,Lee
Adult Male_nhm,0.3,Lee
Adult Female_nhm,0.2,Lee
Yearling Male_nhm,0.18,Lee
Yearling Female_nhm,0.12,Lee
Fawn Male_nhm,0.43,Lee
Fawn Female_nhm,0.44,Lee
6 month Fawn_nhm,0.47,Lee
